customAuthorName,title_s,publicationDate_s,instStructName_s
Khadija Bousselmi,Exploring the Role of Machine Learning in Diagnosing and Treating Speech Disorders: A Systematic Literature Review,2024-05,Université Savoie Mont Blanc
Abdourrahmane Atto,SCHATTEN MATRIX NORM BASED POLARIMETRIC SAR DATA REGULARIZATION. APPLICATION OVER CHAMONIX MONT-BLANC,2013-02-22,Université Savoie Mont Blanc
Abdourrahmane Atto,Best Basis for Joint Representation: the Median of Marginal Best Bases for Low Cost Information Exchanges in Distributed Signal Representation,2014-07-03,Université Savoie Mont Blanc
Abdourrahmane Atto,Wavelet Operators and Multiplicative Observation Models -Application to SAR Image Time Series Analysis,2016-07-25,"Université Savoie Mont Blanc, Télécom ParisTech"
Abdourrahmane Atto,Adaptive Multitemporal SAR Image Filtering Based on the Change Detection Matrix,2014-04-08,"Université Savoie Mont Blanc, Télécom ParisTech"
Abdourrahmane Atto,Control of Discrete Event Systems with Respect to Strict Duration: Supervision of an Industrial Manufacturing Plant,2011,"Université Savoie Mont Blanc, Mines Nantes, École Centrale de Nantes, Université de Nantes, École normale supérieure - Cachan, Université Paris-Sud - Paris 11"
Abdourrahmane Atto,"Traitement automatique de ""time lapse"" : application à la surveillance de glaciers alpins",2017-06-12,"Université Savoie Mont Blanc, Université Savoie Mont Blanc"
Abdourrahmane Atto,Stochasticity: A Feature for the Structuring of Large and Heterogeneous Image Databases,2013-11-04,"Université Savoie Mont Blanc, Université Sciences et Technologies - Bordeaux 1, Institut Polytechnique de Bordeaux"
Abdourrahmane Atto,Matrice de Divergences Multi-Temporelles et Analyse des Séries Chronologiques d'Images SAR,2012-06-07,"Université Savoie Mont Blanc, Université Sciences et Technologies - Bordeaux 1, Institut Polytechnique de Bordeaux, Université européenne de Bretagne - European University of Brittany, Télécom Bretagne"
Abdourrahmane Atto,Inverse Formulation of Temporal Closure and Proposed Solutions for Offset Tracking of Natural Scenes,2017-06-27,Université Savoie Mont Blanc
Abdourrahmane Atto,Transformation possibiliste de lois de probabilités elliptiques,2019-11-15,Université Savoie Mont Blanc
Alexandre Benoit,Assistance via IoT Networking cameras and Evidence Theory for 3D Object Instance Recognition: Application for the NAO Humanoid Robot,2020,Université Savoie Mont Blanc
Alexandre Benoit,A Deep Learning-Based Multitasking Model for Hyperspectral Image Analysis using Novel TAIGA Dataset,2024-07-08,"Centre of Studies in Resources Engineering, Indian Institute of Technology Bombay, India, Université Savoie Mont Blanc, Indian Space Research Organisation"
Alexandre Benoit,IRIM at TRECVID 2012: Semantic Indexing and Instance Search,2012-11-26,"Commissariat à l'énergie atomique et aux énergies alternatives, Ecole Nationale Supérieure de l'Electronique et de ses Applications, CY Cergy Paris Université, Eurecom [Sophia Antipolis], Université de Rennes, Institut National des Sciences Appliquées - Rennes, Institut National de Recherche en Informatique et en Automatique, Institut National de Recherche en Informatique et en Automatique, Université de Bordeaux, École Nationale Supérieure d'Électronique, Informatique et Radiocommunications de Bordeaux (ENSEIRB), Université de la Méditerranée - Aix-Marseille 2, Université de Provence - Aix-Marseille 1, Université Pierre Mendès France - Grenoble 2, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Université Pierre Mendès France - Grenoble 2, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Université Paris-Sud - Paris 11, Université Paris-Saclay, Université Paris Saclay (COmUE), Université Pierre et Marie Curie - Paris 6, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, Université Savoie Mont Blanc, Aix Marseille Université, Université de Toulon, Arts et Métiers Paristech ENSAM Aix-en-Provence, Ministère de l'Education nationale, de l’Enseignement supérieur et de la Recherche, Télécom SudParis, Télécom SudParis, Télécom ParisTech, Ecole Nationale Supérieure d'Informatique pour l'Industrie et l'Entreprise, Conservatoire National des Arts et Métiers [CNAM], Ecole Nationale Supérieure d'Informatique pour l'Industrie et l'Entreprise, Conservatoire National des Arts et Métiers [CNAM]"
Alexandre Benoit,Analysis of the Cherenkov Telescope Array first Large-Sized Telescope real data using convolutional neural networks,2021,"Institut National de Physique Nucléaire et de Physique des Particules du CNRS, Université Savoie Mont Blanc, Université Savoie Mont Blanc"
Alexandre Benoit,Retina enhanced SIFT descriptors for video indexing,2013-06,"Université Savoie Mont Blanc, Université Politehnica [Bucarest, Roumanie]"
Alexandre Benoit,Deep learning for semantic segmentation,2021-04-02,"Université Savoie Mont Blanc, Aix Marseille Université, École Centrale de Marseille, CESI : groupe d’Enseignement Supérieur et de Formation Professionnelle"
Alexandre Benoit,IRIM at TRECVID 2015: Semantic Indexing,2015-11,"Commissariat à l'énergie atomique et aux énergies alternatives, Ecole Nationale Supérieure de l'Electronique et de ses Applications, CY Cergy Paris Université, Eurecom [Sophia Antipolis], Université de Bordeaux, École Nationale Supérieure d'Électronique, Informatique et Radiocommunications de Bordeaux (ENSEIRB), Aix Marseille Université, École Centrale de Marseille, Université Pierre Mendès France - Grenoble 2, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Université Pierre Mendès France - Grenoble 2, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Université Lumière - Lyon 2, École Centrale de Lyon, Université Claude Bernard Lyon 1, Institut National des Sciences Appliquées de Lyon, Université Savoie Mont Blanc"
Alexandre Benoit,Enhancement of Multi-Valued Images Using PDE Coupling,2011-08,"Université des sciences et de la Technologie d'Oran Mohamed Boudiaf [Oran], Université Savoie Mont Blanc"
Alexandre Benoit,Retina-Enhanced SURF Descriptors for Semantic Concept Detection in Videos,2012-10-15,"Université Savoie Mont Blanc, Université Pierre Mendès France - Grenoble 2, Université Stendhal - Grenoble 3, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology"
Alexandre Benoit,Similarity Measurement For Animation Movies,2011-01,"Université Savoie Mont Blanc, Polytechnic University of Bucharest = Université Politehnica de Bucarest = Universitatea POLITEHNICA din București"
Argheesh Bhanot,"OPTICAL MONITORING OF AVALANCHE REALEASE ZONES IN BESSANS, HAUTE MAURIENNE VALLEY, FRANCE, WITH A REMOTE AND ENERGY SELF-SUFFICIENT CAMERA SYSTEM",2024-09-23,"Université Savoie Mont Blanc, Avalanches : Localisation, Etudes, Actions, GEOPREVENT, Conseil Départemental de Savoie"
Julien Boissière,A column generation-based approach for partitioning with equity constraint: application to school canteen meat supply,2014-05-02,"Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Université Savoie Mont Blanc"
Julien Boissière,Application and evaluation of sentence embedding and clustering methods in the context of concept hierarchy construction,2023-09-06,Université Savoie Mont Blanc
Julien Boissière,Decision alignment within supply chain: from a customer/supplier system towrd a multi-echelon model,2014-11-05,"Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Université Savoie Mont Blanc"
Julien Boissière,Service Network Design in Short and Local Fresh Food Supply Chain,2013,"Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Université Savoie Mont Blanc"
Julien Boissière,Maturité des équipes dans les démarches de progrès : de quoi parle-t-on ?,2023-06-07,"Université Savoie Mont Blanc, Université Savoie Mont Blanc"
Julien Boissière,Lecture Alternative Pour Mettre en OEuvre le Supply Chain Management,2015-03-17,"groupe de recherche en management et système d'information, Université Savoie Mont Blanc, Université Savoie Mont Blanc"
Julien Boissière,Decentralised capacitated planning with minimal-information sharing in a 2-echelon supply chain,2015-02-05,"Centrale Lille, The Hong Kong Polytechnic University [Hong Kong], Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Université Savoie Mont Blanc"
Julien Boissière,Supply Chain Performance in the case of Decentralized Planning,2010-10-06,"Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Université Savoie Mont Blanc"
Julien Boissière,Construction of a concept-hierarchy: An automatic process using semantic and linguistic tools,2023-06-01,Université Savoie Mont Blanc
Julien Boissière,Balanced partitioning for school canteen meat supply,2013-05-30,"Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Institut National Polytechnique de Grenoble, Université Savoie Mont Blanc"
Philippe Bolon,High Resolution SAR Interferometry: influence of local topography in the context of glacier monitoring,2006-07-24,"Université Savoie Mont Blanc, Université Politehnica [Bucarest, Roumanie], Université Joseph Fourier - Grenoble 1, Institut National Polytechnique de Grenoble, EC ARCHIT NANCY, EC ARCHIT TOULOUSE, EC ARCHIT MARSEILLE, EC ARCHIT LYON, Télécom ParisTech"
Philippe Bolon,A Fast and Accurate Rule-Base Generation Method for Mamdani Fuzzy Systems,2018-04-01,Université Savoie Mont Blanc
Philippe Bolon,MEGATOR : premiers résultats en photogrammétrie et interférométrie RSO,2005-11,"Université Savoie Mont Blanc, EC ARCHIT NANCY, EC ARCHIT TOULOUSE, EC ARCHIT MARSEILLE, EC ARCHIT LYON"
Philippe Bolon,Rectification radar de données géoréférencées : application à l'analyse de données dans les régions de haute montagne,2007,"Université Savoie Mont Blanc, Université Pierre Mendès France - Grenoble 2, Université Stendhal - Grenoble 3, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, Université Pierre Mendès France - Grenoble 2, Université Stendhal - Grenoble 3, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, EC ARCHIT NANCY, EC ARCHIT TOULOUSE, EC ARCHIT MARSEILLE, EC ARCHIT LYON"
Philippe Bolon,Best Basis for Joint Representation: the Median of Marginal Best Bases for Low Cost Information Exchanges in Distributed Signal Representation,2014-07-03,Université Savoie Mont Blanc
Philippe Bolon,A Linear-Complexity Rule Base Generation Method for Fuzzy Systems,2015-07,Université Savoie Mont Blanc
Philippe Bolon,Analyse d'images : Filtrage et segmentation,1995-10,"Université Savoie Mont Blanc, Université Joseph Fourier - Grenoble 1, Institut polytechnique de Grenoble - Grenoble Institute of Technology, VetAgro Sup - Institut national d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement, Université de Technologie de Compiègne, Institut National de Recherche en Informatique et en Automatique, Université de Rennes, Institut National des Sciences Appliquées - Rennes, Université de Bretagne Sud, École normale supérieure - Rennes, Institut National de Recherche en Informatique et en Automatique, Télécom Bretagne, CentraleSupélec, Institut National de Recherche en Informatique et en Automatique, École normale supérieure de Lyon, Université Claude Bernard Lyon 1, Institut National de Recherche en Informatique et en Automatique, Université Pierre et Marie Curie - Paris 6, Télécom ParisTech"
Philippe Bolon,Reconstruction de données manquantes par analyse en EOF : application aux séries temporelles de mesures de déplacement InSAR,2019-08-26,Université Savoie Mont Blanc
Philippe Bolon,EM-EOF: Gap-Filling in Incomplete SAR Displacement Time Series,2021-07,Université Savoie Mont Blanc
Philippe Bolon,Explainability of Image Semantic Segmentation Through SHAP Values,2022-08-21,"Université Savoie Mont Blanc, TOTAL S.E."
Reda Boukezzoula,A Decision-Making Computational Methodology for a Class of Type-2 Fuzzy Intervals: An Interval-Based Approach,2020,Université Savoie Mont Blanc
Reda Boukezzoula,Fuzzy nonlinear adaptive internal model control (FNAIMC) part I: Fuzzy model identification,1999-08,Université Savoie Mont Blanc
Reda Boukezzoula,Apprentissage de lois de commande floues pour des systèmes non linéaires (synthèse directe et indirecte),1998-11,Université Savoie Mont Blanc
Reda Boukezzoula,An Educational Tool for Fuzzy Control,2006,Université Savoie Mont Blanc
Reda Boukezzoula,"A Mathematical Model for HVLV Systems Scheduling and Optimization With Periodic Preventive Maintenance Using (max, +) Algebra",2012-05-23,"Université Savoie Mont Blanc, Université Savoie Mont Blanc"
Reda Boukezzoula,Fuzzy Adaptive Linearizing Control for Non-affine Systems,2003-05,Université Savoie Mont Blanc
Reda Boukezzoula,Fuzzy Nonlinear Adaptive Internal Model Control (FNAIMC),2001,Université Savoie Mont Blanc
Reda Boukezzoula,Mould Pouring Control based on Absorption Capacity Identification,2007-10,Université Savoie Mont Blanc
Reda Boukezzoula,A Fuzzy Set Estimation Using Interval Contractors: Application to Localization,2022,"Université européenne de Bretagne - European University of Brittany, École Nationale d'Ingénieurs de Brest, Université de Bretagne Sud, Université de Brest, Télécom Bretagne, Université de Brest, École Nationale Supérieure de Techniques Avancées Bretagne, École Nationale d'Ingénieurs de Brest, Université de Bretagne Sud, Université de Brest, École Nationale Supérieure de Techniques Avancées Bretagne, IMT Atlantique, Université Savoie Mont Blanc"
Reda Boukezzoula,Fuzzy supervisory based capacity allocation control for manufacturing systems,2007-07-23,"Université Savoie Mont Blanc, Université Savoie Mont Blanc"
Sorana Cimpan,Towards Software Architecture Physiology: Identifying Vital Component,2008-02-18,Université Savoie Mont Blanc
Sorana Cimpan,Gestion des architectures évolutives dans ArchWare,2006-09,"Université Savoie Mont Blanc, Université de Bretagne Sud"
Sorana Cimpan,Software Agents for bringing cooperating software-intensive processes under quantitative control using fuzzy sets,1999-05-12,"Université Savoie Mont Blanc, Université de Rennes, Institut National des Sciences Appliquées - Rennes, Université de Bretagne Sud, École normale supérieure - Rennes, Institut National de Recherche en Informatique et en Automatique, CentraleSupélec, IMT Atlantique, Université de Bretagne Sud, Université de Rennes, Institut National des Sciences Appliquées - Rennes, Université de Bretagne Sud, École normale supérieure - Rennes, Institut National de Recherche en Informatique et en Automatique, CentraleSupélec, IMT Atlantique"
Sorana Cimpan,Application and evaluation of sentence embedding and clustering methods in the context of concept hierarchy construction,2023-09-06,Université Savoie Mont Blanc
Sorana Cimpan,Software System Understanding via Architectural Views Extraction According to Multiple Viewpoints,2009-11,"Université Savoie Mont Blanc, Université de Lille, Sciences et Technologies, Institut National de Recherche en Informatique et en Automatique, Université de Lille, Sciences Humaines et Sociales, Institut National de Recherche en Informatique et en Automatique"
Sorana Cimpan,On the Application of Fuzzy Sets Theory on the Monitoring of Software-Intensive Processes,1999-08-17,"Université Savoie Mont Blanc, Université de Rennes, Institut National des Sciences Appliquées - Rennes, Université de Bretagne Sud, École normale supérieure - Rennes, Institut National de Recherche en Informatique et en Automatique, CentraleSupélec, IMT Atlantique, Université de Bretagne Sud, Université de Rennes, Institut National des Sciences Appliquées - Rennes, Université de Bretagne Sud, École normale supérieure - Rennes, Institut National de Recherche en Informatique et en Automatique, CentraleSupélec, IMT Atlantique"
Sorana Cimpan,COOK: Réarchitecturisation des applications industrielles à objets,2009-07,"Université de Lille, Sciences et Technologies, Institut National de Recherche en Informatique et en Automatique, Université de Lille, Sciences Humaines et Sociales, Institut National de Recherche en Informatique et en Automatique, Faculty of Science, Université Savoie Mont Blanc"
Sorana Cimpan,Alliance/TMM : Méta-modèle pour le suivi et l’analyse des processus de développement de logiciel,1999-12-08,"Université Savoie Mont Blanc, Université de Rennes, Institut National des Sciences Appliquées - Rennes, Université de Bretagne Sud, École normale supérieure - Rennes, Institut National de Recherche en Informatique et en Automatique, CentraleSupélec, IMT Atlantique, Université de Bretagne Sud, Université de Rennes, Institut National des Sciences Appliquées - Rennes, Université de Bretagne Sud, École normale supérieure - Rennes, Institut National de Recherche en Informatique et en Automatique, CentraleSupélec, IMT Atlantique"
Sorana Cimpan,"Alliance: An Agent-Based CASE Environment for Enterprise Process Modelling, Enactment and Quantitative Control",2000-03,"Université Savoie Mont Blanc, Université de Rennes, Institut National des Sciences Appliquées - Rennes, Université de Bretagne Sud, École normale supérieure - Rennes, Institut National de Recherche en Informatique et en Automatique, Télécom Bretagne, CentraleSupélec"
Sorana Cimpan,Construction de Vues pour la Représentation Architecturale des Systèmes Logiciels,2010-01,Université Savoie Mont Blanc
Didier Coquin,Evaluation locale de la performance basée sur un critère Mission/Qualité,2011-09-05,Université Savoie Mont Blanc
Didier Coquin,A Global System for Avalanche Risk Assessment,2022-06-15,Université Savoie Mont Blanc
Didier Coquin,Dynamic Hand Gesture Recognition Using the Skeleton of the Hand,2005-01,"Polytechnic University of Bucharest = Université Politehnica de Bucarest = Universitatea POLITEHNICA din București, Université Savoie Mont Blanc"
Didier Coquin,Color Recognition for NAO Robot Using Sugeno Fuzzy System and Evidence Theory,2015-07-03,Université Savoie Mont Blanc
Didier Coquin,Fusion method choice driven by user constraints in a human gesture recognition context,2015-06,Université Savoie Mont Blanc
Didier Coquin,Sub-Classification Strategies for Tree Species Recognition,2016-12-04,Université Savoie Mont Blanc
Didier Coquin,Thick Fuzzy Sets (TFSs) and Their Potential Use in Uncertain Fuzzy Computations and Modeling,2021-11,"Université Savoie Mont Blanc, École Nationale d'Ingénieurs de Brest, Université de Bretagne Sud, Université de Brest, École Nationale Supérieure de Techniques Avancées Bretagne, IMT Atlantique, École Nationale Supérieure de Techniques Avancées Bretagne"
Didier Coquin,"L’analyse multi-capteurs, un enjeu pour une connaissance plus précise des échantillons",2019-03-14,"Université Savoie Mont Blanc, Observatoire des Sciences de l'Univers de Grenoble, Université Savoie Mont Blanc, Université de Caen Normandie, Institut national des sciences de l'Univers, Université de Rouen Normandie"
Didier Coquin,A Multilevel Clustering Method for Risky Areas in the Context of Avalanche Danger Management,2022-07-04,Université Savoie Mont Blanc
Didier Coquin,Application of Baddeley's distance to dissimilarity measurement between gray scale images,2001,Université Savoie Mont Blanc
Vincent Couturier,Engineering agent-based information systems: a case study of automatic contract net systems,2010-06-08,Université Savoie Mont Blanc
Vincent Couturier,Patterns for Agent-Based Information Systems: A Case Study in Transport,2012-05-30,Université Savoie Mont Blanc
Vincent Couturier,Can Styles Improve Architectural Reuse ?,2008-02-18,Université Savoie Mont Blanc
Vincent Couturier,Patterns d'analyse pour l'ingénierie des systèmes multi-agents,2010-10-18,Université Savoie Mont Blanc
Vincent Couturier,Patterns d'Analyse pour l'Ingénierie de Systèmes d'Information à base d'Agents : Une Application au Domaine du Transport,2011-05-24,Université Savoie Mont Blanc
Luc Damas,Construction of a concept-hierarchy: An automatic process using semantic and linguistic tools,2023-06-01,Université Savoie Mont Blanc
Luc Damas,Multilingual Thesaurus: The Ontoterminology Approach,2014-09-06,Université Savoie Mont Blanc
Luc Damas,Définition du terme vs. définition du concept : pour une diversité langagière et une conceptualisation commune.,2009,"Université Sorbonne Nouvelle - Paris 3, Université Paris Diderot - Paris 7, Université Savoie Mont Blanc"
Luc Damas,Ontoterminology: A new paradigm for terminology,2009,"Université Savoie Mont Blanc, Université Sorbonne Nouvelle - Paris 3, Université Paris Diderot - Paris 7, Chercheur indépendant"
Luc Damas,Application and evaluation of sentence embedding and clustering methods in the context of concept hierarchy construction,2023-09-06,Université Savoie Mont Blanc
Luc Damas,Multilingual Thesaurus: The Ontoterminology Approach,2014-09-06,Université Savoie Mont Blanc
Yves Dumond,BAAL: an agent-oriented language for modelling and simulation,1996-10,Université Savoie Mont Blanc
Yves Dumond,Ontoreverse : mieux comprendre les logiciels pour réduire leurs coûts de maintenance,2015-04,Université Savoie Mont Blanc
Yves Dumond,Combining shape-based and raster-based approaches for forest fires simulation,2023-10-24,Université Savoie Mont Blanc
Yves Dumond,A relationship between Sequence and statechart diagrams,2000-10,"Université Savoie Mont Blanc, Université de Rennes, Institut National des Sciences Appliquées - Rennes, Université de Bretagne Sud, École normale supérieure - Rennes, Institut National de Recherche en Informatique et en Automatique, Télécom Bretagne, CentraleSupélec"
Yves Dumond,From forest firefighting doctrine to digital battlefield: a case study,2015-06,Université Savoie Mont Blanc
Yves Dumond,Forest fire growth modelling with geographical information fusion,2008-07,Université Savoie Mont Blanc
Yves Dumond,Modelling enterprise using concurrent engineering paradigms,1997,"Université Savoie Mont Blanc, Université Joseph Fourier - Grenoble 1, Institut National Polytechnique de Grenoble"
Yves Dumond,Modelling the fight against forest fires by means of a numerical battlefield,2006-10,Université Savoie Mont Blanc
Yves Dumond,LRO3: un modèle pour la programmation par objets parallèle,1993,"Université Savoie Mont Blanc, Université Gaston Berger de Saint-Louis Sénégal, Institut de Recherche pour le Développement, Université Pierre et Marie Curie - Paris 6, Institut de la francophonie pour l'informatique, Université Cheikh Anta Diop de Dakar [Sénégal], Université de Caen Normandie, École Nationale Supérieure d'Ingénieurs de Caen"
Yves Dumond,Une démarche ontoterminologique pour la rétro-ingénierie de logiciels,2015-06-10,"Université Savoie Mont Blanc, IRISBUS France"
Laurent Foulloy,Application d’un modèle flou de performance temporelle à l’amélioration du TRS,2017-05-03,Université Savoie Mont Blanc
Laurent Foulloy,Prise en compte de la sincérité et de la pertinence d’un décideur dans la déclaration d’objectifs industriels : une modélisation par la théorie des possibilités,2015-02-25,"Université Savoie Mont Blanc, IMT - MINES ALES"
Laurent Foulloy,Thick gradual sets and their computations: Application for determining the uncertain zone explored by an underwater robot,2021-06,"Université Savoie Mont Blanc, École Nationale d'Ingénieurs de Brest, Université de Bretagne Sud, Université de Brest, École Nationale Supérieure de Techniques Avancées Bretagne, IMT Atlantique, École Nationale Supérieure de Techniques Avancées Bretagne"
Laurent Foulloy,Integrating expert knowledge into industrial control structures,2003,Université Savoie Mont Blanc
Laurent Foulloy,A new transformation of continuous unimodal asymmetric probability distributions into possibility distributions,2021-01,Université Savoie Mont Blanc
Laurent Foulloy,Commande floue 1 : de la stabilisation à la supervision,2003-02,Université Savoie Mont Blanc
Laurent Foulloy,Fuzzy Input-Output Linearization of Nonlinear Systems,1997-09,Université Savoie Mont Blanc
Laurent Foulloy,Towards the adaptive laser robot,1984-10,"Université Paris-Sud - Paris 11, Université Savoie Mont Blanc"
Laurent Foulloy,Three stage algorithm for recognizing stable states and reorienting a workpiece,1983-11,Université Savoie Mont Blanc
Laurent Foulloy,Fuzzy Sensor for Fuzzy Control,1992-07,Université Savoie Mont Blanc
Sylvie Galichet,Simultaneous learning of rules and linguistic terms,1996-09,Université Savoie Mont Blanc
Sylvie Galichet,On Joint Parameterizations of Linear and Nonlinear Functionals in Neural Networks,2023-03,"Université Savoie Mont Blanc, École Nationale d'Ingénieurs de Brest, Université de Bretagne Sud, Université de Brest, École Nationale Supérieure de Techniques Avancées Bretagne, IMT Atlantique, IMT Atlantique"
Sylvie Galichet,Opérateurs Min et Max pour intervalles graduels,2018-11,Université Savoie Mont Blanc
Sylvie Galichet,"Words or numbers, Mamdani or Sugeno fuzzy systems: a comparative study",2006-07,Université Savoie Mont Blanc
Sylvie Galichet,Mould Pouring Control based on Absorption Capacity Identification,2007-10,Université Savoie Mont Blanc
Sylvie Galichet,"De la régression floue conventionnelle à la régression graduelle : Analyse, réflexion et perspectives. Partie 1 : vision intervalliste",2017-10,Université Savoie Mont Blanc
Sylvie Galichet,Fuzzy Controllers: Synthesis and Equivalences,1995,Université Savoie Mont Blanc
Sylvie Galichet,Fuzzy Sensor for Fuzzy Control,1994,Université Savoie Mont Blanc
Sylvie Galichet,"Fuzzy Control of Fuzzy Interval Systems, Part I: Solving First Order Fuzzy Equations",2004-07,Université Savoie Mont Blanc
Sylvie Galichet,Application of Fuzzy Logic Control for Continuous Casting Mold Level Control,1998,Université Savoie Mont Blanc
Guillaume Ginolhac,Robust Geometric Metric Learning,2022,"ONERA, CentraleSupélec, Université Paris-Saclay, Université Paris Nanterre, Université Savoie Mont Blanc, ONERA, Université Paris-Saclay"
Guillaume Ginolhac,ON THE USE OF GEODESIC TRIANGLES BETWEEN GAUSSIAN DISTRIBUTIONS FOR CLASSIFICATION PROBLEMS,2022-05-22,"ONERA, CentraleSupélec, Université Paris-Saclay, CentraleSupélec, Université Paris-Saclay, Université Savoie Mont Blanc, Université Paris Nanterre, ONERA, Université Paris-Saclay"
Guillaume Ginolhac,A Robust Change Detector for Highly Heterogeneous Multivariate Images,2018-04-15,"ONERA, CentraleSupélec, Université Paris Saclay (COmUE), ONERA, Université Paris Saclay (COmUE), Université Savoie Mont Blanc"
Guillaume Ginolhac,Random matrix theory applied to low rank STAP detection,2013-06-10,"ONERA, CentraleSupélec, Université Paris Saclay (COmUE), Université Savoie Mont Blanc"
Guillaume Ginolhac,Robust rank constrained kronecker covariance matrix estimation,2016,"Université Paris Nanterre, Center for Condensed Matter and Materials Physics, Department of Physics, Beihang University, Beijing, Hong Kong University of Science and Technology, Université Savoie Mont Blanc"
